species,individual,replicate,yield,,,,,,,
swiftia,PS-23-10-041,1,0.12,,,,,,,
swiftia,PS-23-10-041,2,0.14,,,,,,,
swiftia,PS-23-10-041,3,0.03,,,,,,,
swiftia,PS-23-10-041,4,0.06,,,,,,,
swiftia,PS-23-10-041,5,0.06,,,,,,,
swiftia,PS-23-10-041,6,0.03,,,,,,,
swiftia,PS-23-10-041,7,0.03,,,,,,,
swiftia,PS-23-10-041,8,0.05,,,,,,,
swiftia,PS-23-10-041,9,0.16,,,,,,,
swiftia,PS-23-10-041,10,0.04,,,,,,,
swiftia,PS-23-10-041,11,0.04,,,,,,,
swiftia,PS-23-10-041,12,0.07,,,,,,,
swiftia,PS-23-10-041,13,0.03,,,,,,,
swiftia,PS-23-10-041,14,0.05,,,,,,,
swiftia,PS-23-10-041,15,0.04,,,,,,,
swiftia,PS-23-10-041,16,0.05,,,,,,,
swiftia,PS-23-10-041,17,0.09,,,,,,,
swiftia,PS-23-10-041,18,0.13,,,,,,,
swiftia,PS-23-10-041,19,0.07,,,,,,,
swiftia,PS-23-10-041,20,0.03,,,,,,,
swiftia,PS-23-10-090,1,0.59,,,,,,,
swiftia,PS-23-10-090,2,0.94,,,,,,,
swiftia,PS-23-10-090,3,0.39,,,,,,,
swiftia,PS-23-10-090,4,0.43,,,,,,,
swiftia,PS-23-10-090,5,0.22,,,,,,,
swiftia,PS-23-10-090,6,0.11,,,,,,,
swiftia,PS-23-10-090,7,0.23,,,,,,,
swiftia,PS-23-10-090,8,0.3,,,,,,,
swiftia,PS-23-10-090,9,0.54,,,,,,,
swiftia,PS-23-10-090,10,0.45,,,,,,,
swiftia,PS-23-10-090,11,0.28,,,,,,,
swiftia,PS-23-10-090,12,0.44,,,,,,,
swiftia,PS-23-10-090,13,0.16,,,,,,,
swiftia,PS-23-10-090,14,0.27,,,,,,,
swiftia,PS-23-10-090,15,0.63,,,,,,,
swiftia,PS-23-10-090,16,0.53,,,,,,,
swiftia,PS-23-10-090,17,0.35,,,,,,,
swiftia,PS-23-10-090,18,0.21,,,,,,,
swiftia,PS-23-10-090,19,0.29,,,,,,,
swiftia,PS-23-10-090,20,0.11,,,,,,,
swiftia,PS-23-10-090,21,0.31,,,,,,,
swiftia,PS-23-10-128,1,0.19,,,,,,,
swiftia,PS-23-10-128,2,0.33,,,,,,,
swiftia,PS-23-10-128,3,0.37,,,,,,,
swiftia,PS-23-10-128,4,0.22,,,,,,,
swiftia,PS-23-10-128,5,0.67,,,,,,,
swiftia,PS-23-10-128,6,0.36,,,,,,,
swiftia,PS-23-10-128,7,0.13,,,,,,,
swiftia,PS-23-10-128,8,0.32,,,,,,,
swiftia,PS-23-10-128,9,0.2,,,,,,,
swiftia,PS-23-10-128,10,0.57,,,,,,,
swiftia,PS-23-10-128,11,0.27,,,,,,,
swiftia,PS-23-10-128,12,0.38,,,,,,,
swiftia,PS-23-10-128,13,0.34,,,,,,,
swiftia,PS-23-10-128,14,0.35,,,,,,,
swiftia,PS-23-10-128,15,0.15,,,,,,,
swiftia,PS-23-10-128,16,0.23,,,,,,,
swiftia,PS-23-10-128,17,0.73,,,,,,,
swiftia,PS-23-10-128,18,0.38,,,,,,,
swiftia,PS-23-10-128,19,0.31,,,,,,,
muricea,PS-23-10-160,1,0.23,,,,,,,
muricea,PS-23-10-160,2,0.14,,,,,,,
muricea,PS-23-10-160,3,0.24,,,,,,,
muricea,PS-23-10-160,4,0.15,,,,,,,
muricea,PS-23-10-160,5,0.07,,,,,,,
muricea,PS-23-10-160,6,0.14,,,,,,,
muricea,PS-23-10-160,7,0.2,,,,,,,
muricea,PS-23-10-160,8,0.49,,,,,,,
muricea,PS-23-10-160,9,0.02,,,,,,,
muricea,PS-23-10-160,10,0.16,,,,,,,
muricea,PS-23-10-160,11,0.09,,,,,,,
muricea,PS-23-10-160,12,0.03,,,,,,,
muricea,PS-23-10-160,13,0.32,,,,,,,
muricea,PS-23-10-160,14,0.12,,,,,,,
muricea,PS-23-10-160,15,0.46,,,,,,,
muricea,PS-23-10-160,16,0.29,,,,,,,
muricea,PS-23-10-160,17,0.14,,,,,,,
muricea,PS-23-10-160,18,0.09,,,,,,,
muricea,PS-23-10-160,19,0.19,,,,,,,
muricea,PS-23-10-160,20,0.11,,,,,,,
muricea,PS-23-10-160,21,0.23,,,,,,,
muricea,PS-23-10-160,22,0.19,,,,,,,
swiftia,PS-23-10-171,1,0.47,,,,,,,
swiftia,PS-23-10-171,2,0.57,,,,,,,
swiftia,PS-23-10-171,3,0.18,,,,,,,
swiftia,PS-23-10-171,4,0.27,,,,,,,
swiftia,PS-23-10-171,5,0.47,,,,,,,
swiftia,PS-23-10-171,6,0.54,,,,,,,
swiftia,PS-23-10-171,7,0.12,,,,,,,
swiftia,PS-23-10-171,8,0.52,,,,,,,
swiftia,PS-23-10-171,9,0.31,,,,,,,
swiftia,PS-23-10-171,10,0.13,,,,,,,
swiftia,PS-23-10-171,11,0.21,,,,,,,
swiftia,PS-23-10-171,12,0.35,,,,,,,
swiftia,PS-23-10-171,13,0.18,,,,,,,
swiftia,PS-23-10-171,14,0.37,,,,,,,
swiftia,PS-23-10-171,15,0.59,,,,,,,
swiftia,PS-23-10-171,16,0.35,,,,,,,
swiftia,PS-23-10-171,17,0.16,,,,,,,
swiftia,PS-23-10-171,18,0.25,,,,,,,
swiftia,PS-23-10-171,19,0.2,,,,,,,
swiftia,PS-23-10-171,20,0.23,,,,,,,
muricea,PS-23-10-198,1,0,,,,,,,
muricea,PS-23-10-198,2,0.35,,,,,,,
muricea,PS-23-10-198,3,0.33,,,,,,,
muricea,PS-23-10-198,4,0,,,,,,,
muricea,PS-23-10-198,5,0.32,,,,,,,
muricea,PS-23-10-198,6,0,,,,,,,
muricea,PS-23-10-198,7,0,,,,,,,
muricea,PS-23-10-198,8,0.24,,,,,,,
muricea,PS-23-10-198,9,0,,,,,,,
muricea,PS-23-10-198,10,0.32,,,,,,,
muricea,PS-23-10-198,11,0,,,,,,,
muricea,PS-23-10-198,12,0.34,,,,,,,
muricea,PS-23-10-198,13,0,,,,,,,
muricea,PS-23-10-198,14,0,,,,,,,
muricea,PS-23-10-198,15,0,,,,,,,
muricea,PS-23-10-198,16,0,,,,,,,
muricea,PS-23-10-198,17,0,,,,,,,
muricea,PS-23-10-198,18,0.32,,,,,,,
muricea,PS-23-10-198,19,0.24,,,,,,,
muricea,PS-23-10-198,20,0,,,,,,,
muricea,PS-23-10-235,1,0.46,,,,,,,
muricea,PS-23-10-235,2,0.51,,,,,,,
muricea,PS-23-10-235,3,0.33,,,,,,,
muricea,PS-23-10-235,4,0.22,,,,,,,
muricea,PS-23-10-235,5,0.43,,,,,,,
muricea,PS-23-10-235,6,0.39,,,,,,,
muricea,PS-23-10-235,7,0.42,,,,,,,
muricea,PS-23-10-235,8,0.2,,,,,,,
muricea,PS-23-10-235,9,0.42,,,,,,,
muricea,PS-23-10-235,10,0.13,,,,,,,
muricea,PS-23-10-235,11,0.1,,,,,,,
muricea,PS-23-10-235,12,0.13,,,,,,,
muricea,PS-23-10-235,13,0.27,,,,,,,
muricea,PS-23-10-235,14,0.57,,,,,,,
muricea,PS-23-10-235,15,0.05,,,,,,,
muricea,PS-23-10-235,16,0.37,,,,,,,
muricea,PS-23-10-235,17,0.09,,,,,,,
muricea,PS-23-10-235,18,0.38,,,,,,,
muricea,PS-23-10-235,19,0.04,,,,,,,
muricea,PS-23-10-235,20,0.13,,,,,,,
muricea,PS-23-10-235,21,0.15,,,,,,,
muricea,PS-23-10-235,22,0.23,,,,,,,
swiftia,PS-23-10-270,1,0.37,,,,,,,
swiftia,PS-23-10-270,2,0.37,,,,,,,
swiftia,PS-23-10-270,3,0.26,,,,,,,
swiftia,PS-23-10-270,4,0.18,,,,,,,
swiftia,PS-23-10-270,5,0.13,,,,,,,
swiftia,PS-23-10-270,6,0.18,,,,,,,
swiftia,PS-23-10-270,7,0.36,,,,,,,
swiftia,PS-23-10-270,8,0.2,,,,,,,
swiftia,PS-23-10-270,9,0.29,,,,,,,
swiftia,PS-23-10-270,10,0.69,,,,,,,
swiftia,PS-23-10-270,11,0.15,,,,,,,
swiftia,PS-23-10-270,12,0.45,,,,,,,
swiftia,PS-23-10-270,13,0.59,,,,,,,
swiftia,PS-23-10-270,14,0.18,,,,,,,
swiftia,PS-23-10-270,15,0.32,,,,,,,
swiftia,PS-23-10-270,16,0.18,,,,,,,
swiftia,PS-23-10-270,17,0.33,,,,,,,
swiftia,PS-23-10-270,18,0.23,,,,,,,
swiftia,PS-23-10-270,19,0.2,,,,,,,
swiftia,PS-23-10-270,20,0.65,,,,,,,
muricea,PS-23-10-271,1,0,,,,,,,
muricea,PS-23-10-271,2,0.66,,,,,,,
muricea,PS-23-10-271,3,0,,,,,,,
muricea,PS-23-10-271,4,0,,,,,,,
muricea,PS-23-10-271,5,0,,,,,,,
muricea,PS-23-10-271,6,0,,,,,,,
muricea,PS-23-10-271,7,0,,,,,,,
muricea,PS-23-10-271,8,0.21,,,,,,,
muricea,PS-23-10-271,9,0,,,,,,,
muricea,PS-23-10-271,10,0.51,,,,,,,
muricea,PS-23-10-271,11,0,,,,,,,
muricea,PS-23-10-271,12,0,,,,,,,
muricea,PS-23-10-271,13,0,,,,,,,
muricea,PS-23-10-271,14,0.28,,,,,,,
muricea,PS-23-10-271,15,0,,,,,,,
muricea,PS-23-10-271,16,0.38,,,,,,,
muricea,PS-23-10-271,17,0,,,,,,,
muricea,PS-23-10-271,18,0,,,,,,,
muricea,PS-23-10-271,19,0,,,,,,,
muricea,PS-23-10-271,20,0,,,,,,,
muricea,PS-23-10-321,1,0,,,,,,,
muricea,PS-23-10-321,2,0,,,,,,,
muricea,PS-23-10-321,3,0,,,,,,,
muricea,PS-23-10-321,4,0,,,,,,,
muricea,PS-23-10-321,5,0,,,,,,,
muricea,PS-23-10-321,6,0,,,,,,,
muricea,PS-23-10-321,7,0,,,,,,,
muricea,PS-23-10-321,8,0,,,,,,,
muricea,PS-23-10-321,9,0,,,,,,,
muricea,PS-23-10-321,10,0,,,,,,,
muricea,PS-23-10-321,11,0,,,,,,,
muricea,PS-23-10-321,12,0,,,,,,,
muricea,PS-23-10-321,13,0,,,,,,,
muricea,PS-23-10-321,14,0,,,,,,,
muricea,PS-23-10-321,15,0,,,,,,,
muricea,PS-23-10-321,16,0,,,,,,,
muricea,PS-23-10-321,17,0,,,,,,,
muricea,PS-23-10-321,18,0,,,,,,,
muricea,PS-23-10-321,19,0,,,,,,,
muricea,PS-23-10-321,20,0,,,,,,,
